SeriesCode,Development relevance,Statistical concept and methodology,Indicator Name,Short definition,Long definition,Source,Topic,Periodicity,Base Period,Aggregation method,Limitations and exceptions,Notes from original source,General comments
SE.ADT.1524.LT.FE.ZS,"Youth literacy rate is a key measure to monitor whether a country is on track to achieve the Millennium Development Goal of universal primary education by 2015, and whether an education system has the capacity to meet the needs of universal primary education.

It is used as a proxy instrument to see the effectiveness of education system; a high literacy rate suggests the capacity of an education system to provide a large population with opportunities to acquire literacy skills. The accumulated achievement of education is fundamental for further intellectual growth and social and economic development, although it doesn't necessarily ensure the quality of education.","Basic student outcomes include achievements in reading and mathematics judged against established standards. The UNESCO Institute for Statistics has established literacy as an outcome indicator based on an internationally agreed definition.

The literacy rate is the percentage of the population who can, with understanding, both read and write a short, simple statement about their everyday life. In practice, literacy is difficult to measure. To estimate literacy using such a definition requires census or survey measurements under controlled conditions. Many countries estimate the number of literate people from self-reported data. Some use educational attainment data as a proxy but apply different lengths of school attendance or levels of completion. Because definitions and methodologies of data collection differ across countries, data should be used cautiously.

The reported literacy data are compiled by the UNESCO Institute for Statistics based on national censuses and household surveys during 1985- 2011. For countries without recent literacy data, the UNESCO Institute for Statistics estimates literacy rates with the Global Age-Specific Literacy Projection Model (GALP).","Literacy rate, youth female (% of females ages 15-24)",,"Youth literacy rate is the percentage of people ages 15-24 who can, with understanding, read and write a short, simple statement on their everyday life.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Outcomes,Annual,,Weighted average,"Literacy statistics for most countries cover the population ages 15 and older, but some include younger ages or are confined to age ranges that tend to inflate literacy rates. The youth literacy rate for ages 15-24 reflects recent progress in education. It measures the accumulated outcomes of primary education over the previous 10 years or so by indicating the proportion of the population who have passed through the primary education system and acquired basic literacy and numeracy skills. Generally, literacy also encompasses numeracy, the ability to make simple arithmetic calculations.

The UIS collects data on youth and adult literacy through its annual survey on literacy and educational attainment. Adult literacy rates concern the population aged 15 years and older, while youth literacy rates cover the population between the ages of 15 to 24 years. The data are disseminated through the UIS Data Centre and featured in publications like the annual Global Education Digest.",,Relevance to gender indicator: Literacy rate is an outcome indicator to evaluate educational attainment. This data can predict the quality of future labour force and can be used in ensuring policies for life skills for men and women.
SE.ADT.1524.LT.FM.ZS,,,Ratio of young literate females to males (% ages 15-24),,"Ratio of young literate females to males is the percentage of females to males ages 15-24 who can, with understanding, read and write a short, simple statement on their everyday life.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Outcomes,Annual,,Weighted average,,,
SE.ADT.1524.LT.MA.ZS,"Youth literacy rate is a key measure to monitor whether a country is on track to achieve the Millennium Development Goal of universal primary education by 2015, and whether an education system has the capacity to meet the needs of universal primary education.

It is used as a proxy instrument to see the effectiveness of education system; a high literacy rate suggests the capacity of an education system to provide a large population with opportunities to acquire literacy skills. The accumulated achievement of education is fundamental for further intellectual growth and social and economic development, although it doesn't necessarily ensure the quality of education.","Basic student outcomes include achievements in reading and mathematics judged against established standards. The UNESCO Institute for Statistics has established literacy as an outcome indicator based on an internationally agreed definition.

The literacy rate is the percentage of the population who can, with understanding, both read and write a short, simple statement about their everyday life. In practice, literacy is difficult to measure. To estimate literacy using such a definition requires census or survey measurements under controlled conditions. Many countries estimate the number of literate people from self-reported data. Some use educational attainment data as a proxy but apply different lengths of school attendance or levels of completion. Because definitions and methodologies of data collection differ across countries, data should be used cautiously.

The reported literacy data are compiled by the UNESCO Institute for Statistics based on national censuses and household surveys during 1985- 2011. For countries without recent literacy data, the UNESCO Institute for Statistics estimates literacy rates with the Global Age-Specific Literacy Projection Model (GALP).","Literacy rate, youth male (% of males ages 15-24)",,"Youth literacy rate is the percentage of people ages 15-24 who can, with understanding, read and write a short, simple statement on their everyday life.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Outcomes,Annual,,Weighted average,"Literacy statistics for most countries cover the population ages 15 and older, but some include younger ages or are confined to age ranges that tend to inflate literacy rates. The youth literacy rate for ages 15-24 reflects recent progress in education. It measures the accumulated outcomes of primary education over the previous 10 years or so by indicating the proportion of the population who have passed through the primary education system and acquired basic literacy and numeracy skills. Generally, literacy also encompasses numeracy, the ability to make simple arithmetic calculations.

The UIS collects data on youth and adult literacy through its annual survey on literacy and educational attainment. Adult literacy rates concern the population aged 15 years and older, while youth literacy rates cover the population between the ages of 15 to 24 years. The data are disseminated through the UIS Data Centre and featured in publications like the annual Global Education Digest.",,Relevance to gender indicator: Literacy rate is an outcome indicator to evaluate educational attainment. This data can predict the quality of future labour force and can be used in ensuring policies for life skills for men and women.
SE.ADT.LITR.FE.ZS,"It is used as a proxy instrument to see the effectiveness of education system; a high literacy rate suggests the capacity of an education system to provide a large population with opportunities to acquire literacy skills. The accumulated achievement of education is fundamental for further intellectual growth and social and economic development, although it doesn't necessarily ensure the quality of education.","Basic student outcomes include achievements in reading and mathematics judged against established standards. The UNESCO Institute for Statistics has established literacy as an outcome indicator based on an internationally agreed definition.

The literacy rate is the percentage of the population who can, with understanding, both read and write a short, simple statement about their everyday life. In practice, literacy is difficult to measure. To estimate literacy using such a definition requires census or survey measurements under controlled conditions. Many countries estimate the number of literate people from self-reported data. Some use educational attainment data as a proxy but apply different lengths of school attendance or levels of completion. Because definitions and methodologies of data collection differ across countries, data should be used cautiously.

The reported literacy data are compiled by the UNESCO Institute for Statistics based on national censuses and household surveys during 1985- 2011. For countries without recent literacy data, the UNESCO Institute for Statistics estimates literacy rates with the Global Age-Specific Literacy Projection Model (GALP).","Literacy rate, adult female (% of females ages 15 and above)",,"Adult literacy rate is the percentage of people ages 15 and above who can, with understanding, read and write a short, simple statement on their everyday life.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Outcomes,Annual,,Weighted average,"In practice, literacy is difficult to measure. To estimate literacy requires census or survey measurements under controlled conditions. Many countries estimate the number of literate people from self-reported data. Some use educational attainment data as a proxy but apply different lengths of school attendance or levels of completion. Because definitions and methodologies of data collection differ across countries, data should be used cautiously.",,"Relevance to gender indicator: Literate women implies that they can seek and use information for the betterment of the health, nutrition and education of their household members. Literate women are also empowered to play a meaningful role."
SE.ADT.LITR.MA.ZS,"It is used as a proxy instrument to see the effectiveness of education system; a high literacy rate suggests the capacity of an education system to provide a large population with opportunities to acquire literacy skills. The accumulated achievement of education is fundamental for further intellectual growth and social and economic development, although it doesn't necessarily ensure the quality of education.","Basic student outcomes include achievements in reading and mathematics judged against established standards. The UNESCO Institute for Statistics has established literacy as an outcome indicator based on an internationally agreed definition.

The literacy rate is the percentage of the population who can, with understanding, both read and write a short, simple statement about their everyday life. In practice, literacy is difficult to measure. To estimate literacy using such a definition requires census or survey measurements under controlled conditions. Many countries estimate the number of literate people from self-reported data. Some use educational attainment data as a proxy but apply different lengths of school attendance or levels of completion. Because definitions and methodologies of data collection differ across countries, data should be used cautiously.

The reported literacy data are compiled by the UNESCO Institute for Statistics based on national censuses and household surveys during 1985- 2011. For countries without recent literacy data, the UNESCO Institute for Statistics estimates literacy rates with the Global Age-Specific Literacy Projection Model (GALP).","Literacy rate, adult male (% of males ages 15 and above)",,"Adult literacy rate is the percentage of people ages 15 and above who can, with understanding, read and write a short, simple statement on their everyday life.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Outcomes,Annual,,Weighted average,"In practice, literacy is difficult to measure. To estimate literacy requires census or survey measurements under controlled conditions. Many countries estimate the number of literate people from self-reported data. Some use educational attainment data as a proxy but apply different lengths of school attendance or levels of completion. Because definitions and methodologies of data collection differ across countries, data should be used cautiously.",,"Relevance to gender indicator: Literate women implies that they can seek and use information for the betterment of the health, nutrition and education of their household members. Literate women are also empowered to play a meaningful role."
SE.ENR.PRIM.FM.ZS,,,Ratio of female to male primary enrollment (%),,Ratio of female to male primary enrollment is the percentage of girls to boys enrolled at primary level in public and private schools.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Participation,Annual,,Weighted average,,,
SE.ENR.PRSC.FM.ZS,Eliminating gender disparities in education would help increase the status and capabilities of women. This indicator is a key measure to monitor whether a country is on track to achieve the Millennium Development Goal of promoting gender equality and empowering women by 2015.,"The ratio of girls to boys gross enrollment ratio in primary and secondary school indicates parity between girls and boys. A ratio less than 100 percent suggests girls are more disadvantaged than boys in learning opportunities and a ratio greater than 100 percent suggests the other way around.

It is calculated by dividing female gross enrollment ratio in primary and secondary education by male gross enrollment ratio in primary and secondary education and multiplying the result by 100. Aggregate data are estimates by the United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics (UIS).

Data on education are collected by the UIS from official responses to its annual education survey. All the data published by the UIS are mapped to the International Standard Classification of Education 1997 (ISCED97). This classification system ensures the comparability of education programs at the international level. UNESCO developed the ISCED to facilitate comparisons of education statistics and indicators of different countries on the basis of uniform and internationally agreed definitions. First developed in the 1970s, the current version was formally adopted in November 1997.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).",Ratio of girls to boys in primary and secondary education (%),,Ratio of girls to boys in primary and secondary education is the percentage of girls to boys enrolled at primary and secondary levels in public and private schools.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Participation,Annual,,Weighted average,The ratio of female to male enrollments in primary and secondary education provides an imperfect measure of the relative accessibility of schooling for girls. An improved ratio doesn't necessarily reflect desirable outcomes of the underlying indicators. The level and trend of gross enrollment ratio also need to be analyzed.,,
SE.ENR.SECO.FM.ZS,,,Ratio of female to male secondary enrollment (%),,Ratio of female to male secondary enrollment is the percentage of girls to boys enrolled at secondary level in public and private schools.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Participation,Annual,,Weighted average,,,
SE.ENR.TERT.FM.ZS,,,Ratio of female to male tertiary enrollment (%),,Ratio of female to male tertiary enrollment is the percentage of men to women enrolled at tertiary level in public and private schools.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Participation,Annual,,Weighted average,,,
SE.PRM.CMPT.FE.ZS,"Primary completion rate is a key measure to monitor whether a country is on track to achieve the Millennium Development Goal of universal primary education by 2015, and whether an education system has the capacity to meet the needs of universal primary education.

It is in global use since many school systems do not record school completion on a consistent basis. Official enrollments sometimes differ significantly from attendance and even school systems with high average enrollment ratios may have poor completion rates. In addition, a high primary completion rate does not necessarily mean high levels of student learning.","The World Bank and the United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics (UIS) jointly developed the primary completion rate indicator. Increasingly used as a core indicator of an education system's performance, it reflects an education system's coverage and the educational attainment of students. The primary cycle is defined by the International Standard Classification of Education (ISCED97), ranging from three or four years of primary education (in a very small number of countries) to five or six years (in most countries) and seven (in a small number of countries).

It is calculated by dividing the number of new entrants (enrollment minus repeaters) in the last grade of primary education, regardless of age, by the population at the entrance age for the last grade of primary education and multiplying the result by 100. 

Data on education are collected by the UIS from official responses to its annual education survey. All the data published by the UIS are mapped to the International Standard Classification of Education 1997 (ISCED97). This classification system ensures the comparability of education programs at the international level. UNESCO developed the ISCED to facilitate comparisons of education statistics and indicators of different countries on the basis of uniform and internationally agreed definitions. First developed in the 1970s, the current version was formally adopted in November 1997.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","Primary completion rate, female (% of relevant age group)",,"Primary completion rate is the percentage of students completing the last year of primary school. It is calculated by taking the total number of students in the last grade of primary school, minus the number of repeaters in that grade, divided by the total number of children of official graduation age.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",Education: Outcomes,Annual,,Weighted average,"Data limitations preclude adjusting for students who drop out during the final year of primary education. Thus this rate is a proxy that should be taken as an upper estimate of the actual primary completion rate.
 
There are many reasons why the primary completion rate can exceed 100 percent. The numerator may include late entrants and overage children who have repeated one or more grades of primary education as well as children who entered school early, while the denominator is the number of children at the entrance age for the last grade of primary education.",,
